"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","should reject PATCH request with invalid title","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","463","should show warning if task input exceeds 20 characters","","Mon May 12 09:38:36 CST 2025","passed","Mon May 12 09:38:37 CST 2025","Task Management","playwright/tests/task.spec.js","",""
"","362","should add a task","","Mon May 12 09:38:35 CST 2025","passed","Mon May 12 09:38:35 CST 2025","Task Management","playwright/tests/task.spec.js","",""
"","4","should delete a task","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","411","should not add a task if input is empty","","Mon May 12 09:38:36 CST 2025","passed","Mon May 12 09:38:36 CST 2025","Task Management","playwright/tests/task.spec.js","",""
"","2216","should edit a task title","","Mon May 12 09:38:38 CST 2025","passed","Mon May 12 09:38:40 CST 2025","Task Management","playwright/tests/task.spec.js","",""
"","414","should delete a task","","Mon May 12 09:38:37 CST 2025","passed","Mon May 12 09:38:38 CST 2025","Task Management","playwright/tests/task.spec.js","",""
"","414","should allow adding multiple tasks","","Mon May 12 09:38:36 CST 2025","passed","Mon May 12 09:38:36 CST 2025","Task Management","playwright/tests/task.spec.js","",""
"","12","should reject PATCH request with no update fields","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","3","should return 404 for updating non-existent task","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","4","should update only the title of a task","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","11","should create a new task","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","359","should assign a UUID to new tasks","","Mon May 12 09:38:37 CST 2025","passed","Mon May 12 09:38:37 CST 2025","Task Management","playwright/tests/task.spec.js","",""
"","4","should update both title and completed status together","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","2","should return all tasks","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","4","should handle internal server error gracefully","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","428","should clear the input after adding a task","","Mon May 12 09:38:35 CST 2025","passed","Mon May 12 09:38:36 CST 2025","Task Management","playwright/tests/task.spec.js","",""
"","1","should not create a task with empty title","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","2","should return a UUID as task id","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","8","should reject PATCH request with invalid completed status","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","463","should toggle task completion status","","Mon May 12 09:38:40 CST 2025","passed","Mon May 12 09:38:40 CST 2025","Task Management","playwright/tests/task.spec.js","",""
"","4","should update only the completed status of a task","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","815","should remove all tasks using Remove All button","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:35 CST 2025","Task Management","playwright/tests/task.spec.js","",""
"","1","should not create task with whitespace-only title","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
"","2","should return 404 for deleting a non-existent task","","Mon May 12 09:38:34 CST 2025","passed","Mon May 12 09:38:34 CST 2025","Task API","playwright/tests/api.spec.js","",""
